Tuzla TZLTOCDELLAPP04;Latency;Read Latency;Write Latency;Avg. Size;Read Size;Write Size;Total IOPS;Read IOPS;Write IOPS;CPU Utilization
2025-10-04 11:28:11;;;;;;;;;;
2025-10-04 12:00:00;1,97;0;1,97;556;0;556;0.037;0.000;0.037;%2.0
2025-10-04 13:00:00;2,01;0;2,01;563;0;563;0.036;0.000;0.036;%2.0
2025-10-04 14:00:00;1,26;0;1,26;174;0;174;0.142;0.000;0.142;%2.0
2025-10-04 15:00:00;1,94;0;1,94;549;0;549;0.037;0.000;0.037;%2.0
2025-10-04 16:00:00;1,96;0;1,96;554;0;554;0.037;0.000;0.037;%2.0
2025-10-04 17:00:00;1,99;0,45;1,99;554;16;554;0.037;0.000;0.037;%2.0
2025-10-04 18:00:00;1,96;0;1,96;551;0;551;0.037;0.000;0.037;%2.0
2025-10-04 19:00:00;1,99;0;1,99;558;0;558;0.037;0.000;0.037;%2.0
2025-10-04 20:00:00;1,18;0;1,18;173;0;173;0.144;0.000;0.144;%2.0
2025-10-04 21:00:00;1,46;0;1,46;349;0;349;0.061;0.000;0.061;%2.0
2025-10-04 22:00:00;2,03;0;2,03;570;0;570;0.036;0.000;0.036;%2.0
2025-10-04 23:00:00;2;0;2;560;0;560;0.037;0.000;0.037;%2.0
2025-10-05 00:00:00;1,99;0;1,99;560;0;560;0.037;0.000;0.037;%2.0
2025-10-05 01:00:00;2,04;0;2,04;570;0;570;0.036;0.000;0.036;%2.0
2025-10-05 02:00:00;1,27;0;1,27;178;0;178;0.139;0.000;0.139;%2.0
2025-10-05 03:00:00;2,03;0,49;2,03;574;16;574;0.037;0.000;0.037;%1.0
2025-10-05 04:00:00;2,02;0;2,02;572;0;572;0.037;0.000;0.037;%1.0
2025-10-05 05:00:00;2,05;0;2,05;580;0;580;0.036;0.000;0.036;%1.0
2025-10-05 06:00:00;2,02;0,34;2,02;569;16;569;0.036;0.000;0.036;%1.0
2025-10-05 07:00:00;2,01;0,36;2,01;571;16;571;0.029;0.000;0.029;%1.0
2025-10-05 08:00:00;1,3;0,35;1,3;199;15;199;0.154;0.000;0.154;%1.0
2025-10-05 09:00:00;2,07;0;2,07;591;0;591;0.036;0.000;0.036;%2.0
2025-10-05 10:00:00;2,05;0;2,05;581;0;581;0.036;0.000;0.036;%2.0
2025-10-05 11:00:00;2,02;0;2,02;573;0;573;0.037;0.000;0.037;%2.0
2025-10-05 12:00:00;2,04;0;2,04;575;0;575;0.037;0.000;0.037;%2.0
2025-10-05 13:00:00;2,06;0;2,06;584;0;584;0.036;0.000;0.036;%2.0
2025-10-05 14:00:00;1,95;0,53;1,95;190;8;190;0.139;0.000;0.139;%2.0
