Esenyurt ESNTOCDELLAPP01;Latency;Read Latency;Write Latency;Avg. Size;Read Size;Write Size;Total IOPS;Read IOPS;Write IOPS;CPU Utilization
2025-11-02 10:20:00;1,33;1,37;1,27;304;476;25;27.708;17.104;10.605;%74.0
2025-11-02 10:25:00;1,35;1,39;1,29;301;477;25;27.980;17.110;10.870;%75.0
2025-11-02 10:30:00;1,29;1,34;1,22;300;475;25;28.176;17.248;10.929;%75.0
2025-11-02 10:35:00;1,29;1,31;1,25;305;477;25;27.861;17.225;10.636;%75.0
2025-11-02 10:40:00;2,01;1,79;2,34;295;473;35;27.213;16.138;11.074;%74.0
2025-11-02 10:45:00;1,29;1,33;1,23;299;476;25;28.312;17.194;11.118;%75.0
2025-11-02 10:50:00;1,3;1,34;1,24;305;477;25;27.716;17.161;10.556;%75.0
2025-11-02 10:55:00;1,29;1,33;1,22;301;477;26;28.070;17.141;10.929;%75.0
2025-11-02 11:00:00;1,11;1,19;1;302;476;25;28.458;17.439;11.020;%69.0
2025-11-02 11:05:00;1,23;1,28;1,14;300;473;26;28.338;17.390;10.948;%71.0
2025-11-02 11:10:00;1,31;1,35;1,23;300;475;25;28.242;17.234;11.008;%74.0
2025-11-02 11:15:00;1,32;1,37;1,24;298;471;25;28.290;17.289;11.000;%75.0
2025-11-02 11:20:00;1,38;1,43;1,29;298;464;26;28.027;17.445;10.582;%75.0
2025-11-02 11:25:00;1,38;1,42;1,32;294;460;25;28.569;17.620;10.949;%76.0
2025-11-02 11:30:00;1,45;1,48;1,4;291;457;25;28.655;17.633;11.022;%76.0
2025-11-02 11:35:00;1,37;1,42;1,29;298;467;26;28.121;17.372;10.748;%75.0
2025-11-02 11:40:00;1,9;1,74;2,14;296;472;36;27.508;16.436;11.071;%76.0
2025-11-02 11:45:00;1,78;1,61;2,04;294;471;33;27.949;16.676;11.272;%74.0
2025-11-02 11:50:00;1,36;1,41;1,27;302;474;26;27.740;17.117;10.623;%74.0
2025-11-02 11:55:00;1,34;1,4;1,25;298;472;26;28.158;17.179;10.979;%74.0
2025-11-02 12:00:00;1,33;1,39;1,23;299;476;25;28.164;17.114;11.050;%75.0
2025-11-02 12:05:00;1,33;1,38;1,25;299;474;27;27.982;17.039;10.943;%72.0
2025-11-02 12:10:00;1,15;1,25;0,99;301;476;25;28.167;17.193;10.975;%69.0
2025-11-02 12:15:00;1,12;1,21;0,97;299;475;25;28.367;17.265;11.102;%69.0
