Adana ADNTOCDELLAPP01;Latency;Read Latency;Write Latency;Avg. Size;Read Size;Write Size;Total IOPS;Read IOPS;Write IOPS;CPU Utilization
2025-10-04 09:25:52;;;;;;;;;;
2025-10-04 10:00:00;1;1,21;0,72;302;497;26;18.914;11.083;7.831;%56.0
2025-10-04 11:00:00;0,91;1,16;0,56;301;497;25;18.923;11.076;7.847;%47.0
2025-10-04 12:00:00;0,96;1,19;0,64;301;497;26;18.963;11.085;7.878;%52.0
2025-10-04 13:00:00;0,94;1,18;0,61;301;497;26;18.997;11.092;7.906;%48.0
2025-10-04 14:00:00;0,96;1,19;0,65;300;496;26;18.998;11.083;7.915;%46.0
2025-10-04 15:00:00;0,94;1,18;0,61;300;496;26;19.046;11.109;7.937;%40.0
2025-10-04 16:00:00;0,95;1,19;0,62;301;496;26;18.974;11.093;7.881;%37.0
2025-10-04 17:00:00;0,95;1,19;0,62;302;497;26;18.749;10.972;7.776;%33.0
2025-10-04 18:00:00;1,02;1,22;0,75;302;497;27;19.009;11.115;7.894;%34.0
2025-10-04 19:00:00;1,03;1,22;0,77;302;497;29;17.292;10.074;7.219;%29.0
2025-10-04 20:00:00;0,97;1,19;0,65;300;494;28;21.026;12.273;8.753;%38.0
2025-10-04 21:00:00;0,99;1,21;0,7;301;496;27;19.044;11.100;7.944;%54.0
2025-10-04 22:00:00;0,98;1,19;0,67;302;496;28;18.975;11.105;7.870;%51.0
2025-10-04 23:00:00;0,99;1,21;0,69;302;497;26;18.934;11.093;7.841;%53.0
2025-10-05 00:00:00;0,99;1,21;0,69;302;496;26;18.952;11.101;7.851;%53.0
2025-10-05 01:00:00;1,04;1,2;0,8;301;495;26;19.016;11.133;7.884;%52.0
2025-10-05 02:00:00;0,96;1,19;0,63;301;497;25;18.952;11.090;7.862;%52.0
2025-10-05 03:00:00;0,93;1,18;0,59;301;497;25;18.951;11.081;7.870;%47.0
2025-10-05 04:00:00;1,27;1,24;1,32;302;496;27;18.894;11.066;7.828;%52.0
2025-10-05 05:00:00;0,95;1,19;0,62;302;497;26;18.926;11.095;7.832;%50.0
2025-10-05 06:00:00;1,02;1,22;0,73;302;497;25;18.944;11.104;7.841;%54.0
2025-10-05 07:00:00;0,99;1,21;0,69;301;496;25;18.960;11.094;7.866;%53.0
2025-10-05 08:00:00;0,94;1,18;0,6;300;496;25;19.042;11.108;7.933;%49.0
2025-10-05 09:00:00;1,02;1,22;0,73;301;497;25;18.986;11.099;7.888;%56.0
2025-10-05 10:00:00;0,97;1,2;0,64;302;497;26;18.930;11.096;7.834;%51.0
2025-10-05 11:00:00;0,94;1,17;0,62;301;497;26;18.968;11.103;7.864;%50.0
2025-10-05 12:00:00;0,96;1,19;0,65;301;497;26;18.977;11.098;7.879;%53.0
2025-10-05 13:00:00;0,93;1,17;0,59;301;497;26;19.004;11.091;7.912;%49.0
2025-10-05 14:00:00;0,95;1,18;0,63;301;497;26;18.999;11.079;7.919;%52.0
2025-10-05 15:00:00;0,94;1,18;0,61;300;497;26;19.041;11.099;7.942;%51.0
2025-10-05 16:00:00;1;1,21;0,7;302;497;27;18.962;11.095;7.868;%55.0
2025-10-05 17:00:00;0,97;1,19;0,65;302;497;27;18.975;11.099;7.876;%52.0
