Pursaklar ANKTOCDELLAPP02;Latency;Read Latency;Write Latency;Avg. Size;Read Size;Write Size;Total IOPS;Read IOPS;Write IOPS;CPU Utilization
2025-10-04 10:14:56;;;;;;;;;;
2025-10-04 11:00:00;0,66;0,93;0,33;267;472;24;8.494;4.605;3.888;%22.0
2025-10-04 12:00:00;0,65;0,93;0,33;268;472;24;8.526;4.632;3.894;%20.0
2025-10-04 13:00:00;0,66;0,94;0,32;265;471;24;8.471;4.567;3.904;%20.0
2025-10-04 14:00:00;0,66;0,95;0,32;262;469;24;8.384;4.475;3.909;%19.0
2025-10-04 15:00:00;0,67;0,98;0,34;256;467;24;8.210;4.292;3.918;%25.0
2025-10-04 16:00:00;0,67;0,97;0,34;259;468;24;8.260;4.369;3.891;%26.0
2025-10-04 17:00:00;0,65;0,93;0,32;266;471;24;8.482;4.589;3.893;%19.0
2025-10-04 18:00:00;0,65;0,93;0,32;267;471;24;8.537;4.630;3.907;%20.0
2025-10-04 19:00:00;0,65;0,93;0,32;266;471;24;8.540;4.624;3.916;%20.0
2025-10-04 20:00:00;0,65;0,93;0,32;267;471;24;8.505;4.618;3.887;%20.0
2025-10-04 21:00:00;0,68;0,95;0,37;267;472;24;8.485;4.616;3.869;%31.0
2025-10-04 22:00:00;0,66;0,93;0,32;267;471;23;8.462;4.612;3.850;%20.0
2025-10-04 23:00:00;0,65;0,93;0,32;267;470;23;8.435;4.595;3.840;%18.0
2025-10-05 00:00:00;0,65;0,94;0,32;265;469;23;8.425;4.574;3.851;%15.0
2025-10-05 01:00:00;0,66;0,95;0,32;258;458;22;8.385;4.528;3.857;%13.0
2025-10-05 02:00:00;0,66;0,99;0,31;252;462;22;7.657;3.995;3.662;%11.0
2025-10-05 03:00:00;0,65;0,92;0,31;254;444;22;7.832;4.308;3.524;%11.0
2025-10-05 04:00:00;0,61;0,8;0,32;236;378;23;5.691;3.425;2.266;%12.0
2025-10-05 05:00:00;0,62;0,82;0,34;246;401;22;5.513;3.252;2.261;%15.0
2025-10-05 06:00:00;0,67;0,97;0,32;267;475;20;16.519;8.990;7.529;%17.0
2025-10-05 07:00:00;0,64;0,91;0,31;264;460;21;8.602;4.758;3.844;%19.0
2025-10-05 08:00:00;0,64;0,91;0,31;264;462;22;8.576;4.720;3.855;%19.0
2025-10-05 09:00:00;0,65;0,92;0,32;266;468;22;8.527;4.656;3.871;%18.0
2025-10-05 10:00:00;0,65;0,92;0,32;265;465;23;8.527;4.674;3.853;%16.0
2025-10-05 11:00:00;0,65;0,92;0,32;265;467;23;8.507;4.643;3.864;%14.0
2025-10-05 12:00:00;0,65;0,94;0,32;261;465;24;8.345;4.488;3.857;%14.0
2025-10-05 13:00:00;0,67;0,95;0,34;259;464;24;8.318;4.440;3.878;%25.0
2025-10-05 14:00:00;0,67;0,94;0,35;264;466;24;8.478;4.603;3.875;%27.0
2025-10-05 15:00:00;0,65;0,92;0,32;265;466;24;8.562;4.664;3.898;%20.0
2025-10-05 16:00:00;0,65;0,92;0,33;266;466;24;8.552;4.684;3.868;%20.0
2025-10-05 17:00:00;0,65;0,92;0,32;266;466;24;8.540;4.670;3.871;%20.0
2025-10-05 18:00:00;0,65;0,92;0,32;265;466;24;8.561;4.669;3.892;%20.0
2025-10-05 19:00:00;0,67;0,93;0,35;263;465;24;8.577;4.648;3.929;%29.0
2025-10-05 20:00:00;0,66;0,93;0,34;264;465;24;8.533;4.646;3.887;%22.0
2025-10-05 21:00:00;0,65;0,92;0,33;266;465;24;8.573;4.696;3.877;%20.0
2025-10-05 22:00:00;0,65;0,92;0,32;266;465;23;8.562;4.704;3.858;%19.0
2025-10-05 23:00:00;0,65;0,91;0,32;265;464;23;8.595;4.717;3.878;%19.0
2025-10-06 00:00:00;0,64;0,91;0,32;265;462;22;8.609;4.748;3.862;%19.0
2025-10-06 01:00:00;0,65;0,91;0,32;263;455;22;8.739;4.867;3.871;%19.0
2025-10-06 02:00:00;0,67;0,92;0,36;265;461;22;8.627;4.780;3.847;%31.0
2025-10-06 03:00:00;0,64;0,89;0,32;262;447;21;8.806;4.974;3.832;%20.0
2025-10-06 04:00:00;0,64;0,88;0,32;256;433;22;8.851;5.051;3.799;%19.0
2025-10-06 05:00:00;0,63;0,86;0,31;252;422;21;9.038;5.213;3.825;%20.0
2025-10-06 06:00:00;0,64;0,89;0,31;263;455;21;8.637;4.823;3.814;%19.0
2025-10-06 07:00:00;0,64;0,89;0,31;264;454;21;8.727;4.893;3.834;%19.0
2025-10-06 08:00:00;0,64;0,89;0,32;263;452;22;8.736;4.889;3.847;%19.0
2025-10-06 09:00:00;0,64;0,89;0,32;260;451;23;8.685;4.824;3.862;%19.0
2025-10-06 10:00:00;0,64;0,88;0,32;261;448;23;8.777;4.920;3.858;%20.0
2025-10-06 11:00:00;0,66;0,91;0,35;254;445;24;8.615;4.718;3.897;%29.0
2025-10-06 12:00:00;0,65;0,92;0,34;252;441;25;8.591;4.684;3.907;%21.0
2025-10-06 13:00:00;0,64;0,9;0,33;254;439;25;8.707;4.802;3.905;%17.0
2025-10-06 14:00:00;0,63;0,87;0,33;259;440;25;8.930;5.026;3.904;%15.0
2025-10-06 15:00:00;0,63;0,86;0,33;258;437;25;9.009;5.091;3.919;%13.0
2025-10-06 16:00:00;0,65;0,88;0,36;260;444;25;8.750;4.905;3.845;%18.0
2025-10-06 17:00:00;0,66;0,92;0,36;265;465;27;5.949;3.234;2.715;%14.0
2025-10-06 18:00:00;0,64;0,9;0,34;263;461;28;5.058;2.741;2.318;%11.0
2025-10-06 19:00:00;0,65;0,95;0,33;248;453;28;4.766;2.461;2.305;%11.0
2025-10-06 20:00:00;0,68;1,02;0,31;258;475;22;17.216;8.974;8.241;%17.0
2025-10-06 21:00:00;0,7;1,1;0,33;227;451;24;7.367;3.505;3.862;%24.0
2025-10-06 22:00:00;0,7;1,12;0,32;225;449;24;7.281;3.445;3.836;%21.0
2025-10-06 23:00:00;0,67;1,01;0,31;249;462;23;7.922;4.075;3.847;%16.0
2025-10-07 00:00:00;0,66;0,95;0,32;263;470;23;8.289;4.454;3.835;%15.0
2025-10-07 01:00:00;0,66;0,94;0,32;264;463;22;8.363;4.589;3.773;%13.0
2025-10-07 02:00:00;0,66;0,94;0,32;268;473;22;8.619;4.700;3.919;%14.0
2025-10-07 03:00:00;0,65;0,92;0,32;263;457;21;8.652;4.795;3.857;%19.0
2025-10-07 04:00:00;0,65;0,91;0,32;259;444;22;8.733;4.909;3.824;%19.0
2025-10-07 05:00:00;0,65;0,9;0,31;255;434;21;8.873;5.024;3.848;%20.0
2025-10-07 06:00:00;0,65;0,93;0,31;267;472;21;8.391;4.566;3.825;%19.0
2025-10-07 07:00:00;0,68;0,95;0,35;265;470;22;8.383;4.547;3.835;%30.0
2025-10-07 08:00:00;0,65;0,94;0,32;265;471;22;8.431;4.573;3.858;%19.0
2025-10-07 09:00:00;0,66;0,95;0,32;265;472;23;8.364;4.505;3.859;%19.0
2025-10-07 10:00:00;0,66;0,94;0,32;265;469;24;8.405;4.561;3.845;%19.0
2025-10-07 11:00:00;0,66;0,94;0,32;268;473;24;8.479;4.613;3.866;%20.0
2025-10-07 12:00:00;0,66;0,94;0,33;267;472;24;8.502;4.607;3.895;%20.0
2025-10-07 13:00:00;0,68;0,95;0,36;267;472;25;8.510;4.603;3.906;%31.0
2025-10-07 14:00:00;0,66;0,94;0,33;267;472;25;8.528;4.619;3.909;%21.0
2025-10-07 15:00:00;0,65;0,94;0,32;265;472;24;8.563;4.608;3.956;%20.0
2025-10-07 16:00:00;0,66;0,94;0,33;267;472;25;8.510;4.609;3.901;%20.0
2025-10-07 17:00:00;0,66;0,93;0,33;267;472;25;8.515;4.614;3.902;%20.0
2025-10-07 18:00:00;0,68;0,95;0,37;267;472;25;8.517;4.606;3.911;%31.0
2025-10-07 19:00:00;0,66;0,93;0,33;267;472;24;8.530;4.618;3.912;%21.0
2025-10-07 20:00:00;0,66;0,94;0,33;266;472;24;8.513;4.597;3.915;%20.0
2025-10-07 21:00:00;0,66;0,94;0,33;267;472;24;8.507;4.610;3.898;%20.0
2025-10-07 22:00:00;0,65;0,93;0,32;267;472;23;8.488;4.610;3.878;%19.0
2025-10-07 23:00:00;0,66;0,93;0,33;268;472;23;8.447;4.615;3.832;%20.0
2025-10-08 00:00:00;0,68;0,95;0,36;268;471;23;8.442;4.617;3.825;%30.0
2025-10-08 01:00:00;0,66;0,93;0,32;265;464;22;8.530;4.694;3.836;%19.0
2025-10-08 02:00:00;0,66;0,94;0,32;268;472;22;8.462;4.629;3.833;%19.0
2025-10-08 03:00:00;0,65;0,92;0,32;264;458;21;8.621;4.799;3.822;%17.0
2025-10-08 04:00:00;0,65;0,9;0,32;258;439;22;8.776;4.972;3.804;%15.0
2025-10-08 05:00:00;0,64;0,89;0,31;257;438;21;8.812;4.979;3.832;%13.0
