Pursaklar ANKTOCDELLAPP01;Latency;Read Latency;Write Latency;Avg. Size;Read Size;Write Size;Total IOPS;Read IOPS;Write IOPS;CPU Utilization
2025-10-04 10:12:23;;;;;;;;;;
2025-10-04 11:00:00;1,3;1,29;1,32;367;476;34;27.185;20.464;6.721;%73.0
2025-10-04 12:00:00;1,19;1,21;1,14;365;476;34;27.019;20.266;6.753;%69.0
2025-10-04 13:00:00;1,39;1,38;1,43;365;476;35;26.807;20.058;6.749;%74.0
2025-10-04 14:00:00;1,26;1,27;1,25;365;476;35;27.036;20.256;6.780;%70.0
2025-10-04 15:00:00;1,38;1,37;1,43;365;476;35;26.976;20.164;6.813;%74.0
2025-10-04 16:00:00;1,34;1,33;1,38;366;476;35;27.073;20.300;6.773;%73.0
2025-10-04 17:00:00;1,29;1,28;1,29;367;476;35;27.334;20.542;6.792;%72.0
2025-10-04 18:00:00;1,28;1,28;1,31;368;477;35;27.416;20.646;6.771;%73.0
2025-10-04 19:00:00;1,32;1,31;1,37;368;477;35;27.400;20.661;6.739;%74.0
2025-10-04 20:00:00;1,32;1,3;1,35;368;477;35;27.401;20.655;6.746;%74.0
2025-10-04 21:00:00;1,3;1,29;1,32;367;477;34;27.402;20.593;6.808;%73.0
2025-10-04 22:00:00;1,39;1,37;1,44;366;476;34;27.075;20.327;6.749;%75.0
2025-10-04 23:00:00;1,17;1,18;1,11;366;476;33;27.244;20.492;6.752;%68.0
2025-10-05 00:00:00;1,38;1,37;1,42;365;475;33;26.916;20.232;6.684;%75.0
2025-10-05 01:00:00;1,21;1,22;1,17;365;474;32;26.971;20.304;6.667;%68.0
2025-10-05 02:00:00;1,24;1,25;1,2;365;476;31;26.631;19.975;6.656;%69.0
2025-10-05 03:00:00;1,32;1,32;1,3;365;475;31;26.754;20.080;6.674;%72.0
2025-10-05 04:00:00;1,18;1,18;1,19;362;466;31;27.575;20.968;6.607;%68.0
2025-10-05 05:00:00;1,26;1,27;1,25;363;468;30;27.650;21.026;6.624;%72.0
2025-10-05 06:00:00;1,19;1,21;1,13;369;477;30;27.459;20.836;6.623;%70.0
2025-10-05 07:00:00;1,25;1,25;1,27;369;477;30;27.389;20.775;6.614;%73.0
2025-10-05 08:00:00;1,18;1,2;1,12;369;476;31;27.470;20.844;6.626;%69.0
2025-10-05 09:00:00;1,32;1,32;1,32;367;476;32;27.177;20.514;6.663;%73.0
2025-10-05 10:00:00;1,21;1,22;1,17;368;476;32;27.206;20.582;6.625;%69.0
2025-10-05 11:00:00;1,31;1,3;1,32;367;476;33;27.023;20.351;6.672;%73.0
2025-10-05 12:00:00;1,33;1,32;1,34;366;476;33;27.020;20.290;6.730;%73.0
2025-10-05 13:00:00;1,26;1,26;1,24;366;476;34;27.058;20.296;6.761;%71.0
2025-10-05 14:00:00;1,28;1,28;1,28;365;476;34;27.026;20.255;6.771;%72.0
2025-10-05 15:00:00;1,38;1,35;1,46;366;476;35;27.051;20.274;6.777;%75.0
2025-10-05 16:00:00;1,31;1,3;1,34;367;476;35;27.314;20.571;6.742;%74.0
2025-10-05 17:00:00;1,24;1,24;1,24;368;476;35;27.465;20.722;6.744;%72.0
2025-10-05 18:00:00;1,34;1,33;1,36;366;476;35;27.186;20.440;6.746;%74.0
2025-10-05 19:00:00;1,33;1,32;1,36;366;476;35;27.220;20.451;6.769;%73.0
2025-10-05 20:00:00;1,33;1,32;1,36;366;476;35;27.035;20.307;6.729;%72.0
2025-10-05 21:00:00;1,4;1,39;1,45;364;475;34;26.961;20.192;6.769;%75.0
2025-10-05 22:00:00;1,18;1,2;1,12;367;476;34;27.245;20.546;6.698;%68.0
2025-10-05 23:00:00;1,34;1,33;1,35;365;475;33;27.117;20.383;6.734;%74.0
