Tuzla TZLTOCDELLAPP02;Latency;Read Latency;Write Latency;Avg. Size;Read Size;Write Size;Total IOPS;Read IOPS;Write IOPS;CPU Utilization
2025-10-04 11:24:44;;;;;;;;;;
2025-10-04 12:00:00;1,82;2,92;1,35;246;398;180;1.295;0.392;0.903;%15.0
2025-10-04 13:00:00;1,69;2,93;1,16;247;398;182;1.301;0.391;0.910;%18.0
2025-10-04 14:00:00;1,84;2,9;1,38;249;395;186;1.312;0.396;0.916;%16.0
2025-10-04 15:00:00;1,87;2,9;1,42;249;393;187;1.315;0.393;0.922;%18.0
2025-10-04 16:00:00;1,89;2,89;1,47;249;394;187;1.320;0.397;0.924;%17.0
2025-10-04 17:00:00;1,87;2,91;1,43;250;396;187;1.314;0.394;0.920;%17.0
2025-10-04 18:00:00;1,74;2,81;1,27;247;382;186;1.331;0.410;0.920;%17.0
2025-10-04 19:00:00;1,77;2,92;1,28;249;396;186;1.313;0.393;0.920;%17.0
2025-10-04 20:00:00;1,66;2,88;1,13;245;392;181;1.304;0.398;0.907;%16.0
2025-10-04 21:00:00;1,85;2,91;1,38;243;397;176;1.290;0.394;0.896;%16.0
2025-10-04 22:00:00;1,7;2,89;1,17;240;395;171;1.278;0.394;0.884;%15.0
2025-10-04 23:00:00;1,68;2,95;1,12;240;405;167;1.257;0.385;0.872;%16.0
2025-10-05 00:00:00;1,49;2,87;0,86;232;397;156;1.240;0.393;0.848;%11.0
2025-10-05 01:00:00;1,53;2,91;0,88;226;401;143;1.209;0.388;0.821;%16.0
2025-10-05 02:00:00;1,46;2,97;0,75;223;411;135;1.186;0.378;0.807;%11.0
2025-10-05 03:00:00;1,42;2,94;0,69;217;408;126;1.178;0.381;0.796;%9.0
2025-10-05 04:00:00;1,33;2,99;0,65;196;415;107;1.289;0.375;0.915;%13.0
2025-10-05 05:00:00;1,41;2,96;0,66;215;414;120;1.158;0.374;0.783;%9.0
2025-10-05 06:00:00;1,41;2,94;0,66;213;412;116;1.153;0.377;0.775;%10.0
2025-10-05 07:00:00;1,45;2,93;0,73;215;408;121;1.173;0.384;0.789;%16.0
2025-10-05 08:00:00;1,4;2,95;0,67;216;411;124;1.170;0.377;0.792;%9.0
2025-10-05 09:00:00;1,45;2,92;0,75;220;406;132;1.186;0.381;0.805;%11.0
2025-10-05 10:00:00;1,57;2,94;0,94;227;405;145;1.216;0.385;0.832;%17.0
2025-10-05 11:00:00;1,58;2,95;0,97;236;407;160;1.246;0.383;0.863;%11.0
2025-10-05 12:00:00;1,82;2,9;1,34;238;394;169;1.284;0.396;0.888;%18.0
2025-10-05 13:00:00;1,79;2,98;1,29;245;406;177;1.290;0.382;0.908;%14.0
2025-10-05 14:00:00;1,89;2,91;1,45;245;396;181;1.311;0.395;0.916;%19.0
2025-10-05 15:00:00;1,92;2,92;1,5;247;399;183;1.313;0.391;0.923;%15.0
2025-10-05 16:00:00;1,89;2,89;1,46;248;393;185;1.321;0.397;0.924;%19.0
2025-10-05 17:00:00;1,82;2,89;1,36;249;396;187;1.318;0.394;0.925;%15.0
2025-10-05 18:00:00;1,99;2,9;1,6;249;394;187;1.316;0.395;0.921;%19.0
2025-10-05 19:00:00;1,64;2,87;1,11;247;394;183;1.308;0.394;0.914;%14.0
2025-10-05 20:00:00;1,92;2,89;1,5;245;395;180;1.304;0.395;0.909;%19.0
2025-10-05 21:00:00;1,66;2,9;1,12;243;400;175;1.286;0.389;0.897;%13.0
2025-10-05 22:00:00;1,77;2,92;1,26;239;397;168;1.271;0.391;0.879;%19.0
2025-10-05 23:00:00;1,53;2,9;0,91;235;403;160;1.244;0.387;0.858;%12.0
2025-10-06 00:00:00;1,51;2,91;0,85;228;404;146;1.216;0.389;0.828;%14.0
2025-10-06 01:00:00;1,47;2,95;0,77;223;407;135;1.189;0.382;0.807;%13.0
2025-10-06 02:00:00;1,42;2,94;0,68;217;408;125;1.168;0.381;0.787;%9.0
2025-10-06 03:00:00;1,45;2,99;0,7;217;414;121;1.151;0.375;0.776;%12.0
2025-10-06 04:00:00;1,28;2,93;0,59;193;405;104;1.298;0.382;0.916;%12.0
2025-10-06 05:00:00;1,4;2,97;0,63;215;414;118;1.144;0.375;0.769;%8.0
2025-10-06 06:00:00;1,45;2,96;0,71;214;411;118;1.152;0.378;0.774;%12.0
2025-10-06 07:00:00;1,46;2,98;0,72;218;412;125;1.171;0.380;0.792;%15.0
2025-10-06 08:00:00;1,46;2,89;0,8;227;401;147;1.224;0.389;0.835;%11.0
2025-10-06 09:00:00;1,73;2,92;1,2;238;400;167;1.275;0.389;0.886;%17.0
2025-10-06 10:00:00;1,88;2,91;1,43;242;399;174;1.292;0.390;0.902;%14.0
2025-10-06 11:00:00;1,85;2,91;1,39;245;396;180;1.307;0.393;0.914;%19.0
2025-10-06 12:00:00;1,65;2,86;1,13;246;392;183;1.321;0.399;0.923;%15.0
2025-10-06 13:00:00;1,77;2,9;1,29;248;395;185;1.323;0.393;0.931;%19.0
2025-10-06 14:00:00;1,61;2,86;1,07;247;392;185;1.330;0.399;0.931;%15.0
2025-10-06 15:00:00;1,76;2,83;1,3;247;386;187;1.341;0.405;0.936;%20.0
2025-10-06 16:00:00;1,64;2,82;1,13;248;386;189;1.342;0.405;0.938;%15.0
2025-10-06 17:00:00;1,87;2,89;1,43;251;393;190;1.333;0.398;0.935;%20.0
2025-10-06 18:00:00;1,75;2,86;1,28;249;392;188;1.337;0.398;0.939;%15.0
2025-10-06 19:00:00;1,68;2,84;1,17;246;388;184;1.329;0.403;0.927;%19.0
2025-10-06 20:00:00;1,55;2,9;0,97;244;399;177;1.294;0.390;0.904;%13.0
2025-10-06 21:00:00;1,9;2,91;1,45;241;394;173;1.288;0.396;0.893;%18.0
2025-10-06 22:00:00;1,61;2,93;1,03;239;402;167;1.262;0.385;0.877;%12.0
2025-10-06 23:00:00;1,61;2,89;1,03;233;397;158;1.248;0.393;0.854;%17.0
2025-10-07 00:00:00;1,48;2,92;0,8;227;403;145;1.214;0.388;0.825;%11.0
2025-10-07 01:00:00;1,48;2,94;0,78;222;407;135;1.187;0.382;0.805;%12.0
2025-10-07 02:00:00;1,47;2,94;0,76;217;407;124;1.171;0.382;0.788;%15.0
2025-10-07 03:00:00;1,4;2,97;0,65;216;413;121;1.158;0.376;0.782;%8.0
2025-10-07 04:00:00;1,3;2,96;0,59;197;410;107;1.274;0.378;0.896;%8.0
2025-10-07 05:00:00;1,47;2,99;0,73;214;412;118;1.152;0.376;0.776;%17.0
2025-10-07 06:00:00;1,41;2,96;0,65;214;411;119;1.158;0.378;0.779;%9.0
2025-10-07 07:00:00;1,42;2,95;0,68;218;411;125;1.170;0.381;0.789;%9.0
2025-10-07 08:00:00;1,53;2,91;0,89;227;400;147;1.220;0.386;0.833;%17.0
2025-10-07 09:00:00;1,65;2,92;1,09;238;401;167;1.273;0.388;0.884;%14.0
2025-10-07 10:00:00;1,76;2,9;1,27;242;396;175;1.300;0.394;0.906;%18.0
2025-10-07 11:00:00;1,84;2,93;1,38;245;401;179;1.305;0.389;0.916;%15.0
2025-10-07 12:00:00;1,72;2,88;1,22;246;394;182;1.321;0.396;0.924;%19.0
2025-10-07 13:00:00;1,68;2,88;1,17;248;393;185;1.323;0.396;0.926;%15.0
2025-10-07 14:00:00;1,74;2,89;1,25;248;393;186;1.326;0.397;0.929;%20.0
2025-10-07 15:00:00;1,67;2,9;1,14;250;396;187;1.319;0.394;0.925;%15.0
2025-10-07 16:00:00;1,8;2,87;1,34;249;390;188;1.335;0.400;0.935;%20.0
2025-10-07 17:00:00;1,79;2,89;1,33;249;393;189;1.333;0.394;0.939;%15.0
2025-10-07 18:00:00;1,78;2,88;1,32;248;391;187;1.334;0.399;0.935;%20.0
2025-10-07 19:00:00;1,71;2,88;1,21;247;394;184;1.319;0.396;0.922;%15.0
2025-10-07 20:00:00;1,64;2,89;1,09;244;396;177;1.298;0.395;0.903;%18.0
2025-10-07 21:00:00;1,68;2,91;1,14;242;400;173;1.278;0.390;0.888;%13.0
2025-10-07 22:00:00;1,75;2,96;1,23;240;405;167;1.258;0.383;0.875;%18.0
