Gaziemir IZMTOCDELLAPP03;Latency;Read Latency;Write Latency;Avg. Size;Read Size;Write Size;Total IOPS;Read IOPS;Write IOPS;CPU Utilization
2025-10-04 11:15:50;;;;;;;;;;
2025-10-04 12:00:00;0,22;0,45;0,19;51;300;18;3.351;0.394;2.957;%6.0
2025-10-04 13:00:00;0,22;0,4;0,19;50;263;18;3.427;0.456;2.971;%6.0
2025-10-04 14:00:00;0,22;0,46;0,19;50;300;18;3.349;0.386;2.963;%6.0
2025-10-04 15:00:00;0,22;0,47;0,19;50;305;18;3.344;0.373;2.971;%6.0
2025-10-04 16:00:00;0,22;0,47;0,19;51;310;18;3.340;0.374;2.966;%6.0
2025-10-04 17:00:00;0,22;0,46;0,19;51;303;18;3.356;0.385;2.971;%6.0
2025-10-04 18:00:00;0,22;0,45;0,19;50;299;18;3.346;0.389;2.957;%6.0
2025-10-04 19:00:00;0,22;0,47;0,19;50;305;18;3.342;0.378;2.965;%6.0
2025-10-04 20:00:00;0,22;0,45;0,19;50;295;18;3.370;0.392;2.979;%6.0
2025-10-04 21:00:00;0,22;0,47;0,19;50;304;18;3.356;0.380;2.976;%6.0
2025-10-04 22:00:00;0,22;0,46;0,19;50;299;18;3.373;0.389;2.984;%6.0
2025-10-04 23:00:00;0,22;0,46;0,19;50;299;18;3.365;0.387;2.978;%6.0
2025-10-05 00:00:00;0,22;0,48;0,19;50;313;18;3.354;0.364;2.990;%9.0
2025-10-05 01:00:00;0,23;0,44;0,2;49;282;18;3.381;0.406;2.976;%15.0
2025-10-05 02:00:00;0,23;0,4;0,19;50;186;18;3.677;0.695;2.982;%7.0
2025-10-05 03:00:00;0,22;0,43;0,19;49;267;18;3.399;0.423;2.976;%6.0
2025-10-05 04:00:00;0,22;0,46;0,19;49;298;17;3.407;0.380;3.027;%6.0
2025-10-05 05:00:00;0,22;0,45;0,19;49;270;18;3.417;0.427;2.990;%6.0
2025-10-05 06:00:00;0,22;0,47;0,19;49;309;17;3.348;0.361;2.986;%6.0
2025-10-05 07:00:00;0,22;0,44;0,19;49;282;18;3.399;0.405;2.994;%6.0
2025-10-05 08:00:00;0,22;0,38;0,19;52;255;18;3.492;0.511;2.981;%6.0
2025-10-05 09:00:00;0,22;0,44;0,19;52;291;18;3.402;0.424;2.978;%6.0
2025-10-05 10:00:00;0,22;0,43;0,19;51;283;18;3.403;0.424;2.980;%6.0
2025-10-05 11:00:00;0,22;0,43;0,19;50;280;18;3.419;0.417;3.002;%6.0
2025-10-05 12:00:00;0,22;0,43;0,19;50;279;18;3.379;0.417;2.962;%6.0
2025-10-05 13:00:00;0,22;0,46;0,19;50;297;18;3.341;0.388;2.953;%6.0
2025-10-05 14:00:00;0,22;0,44;0,19;51;287;18;3.353;0.410;2.944;%6.0
2025-10-05 15:00:00;0,22;0,46;0,19;50;298;18;3.340;0.387;2.953;%6.0
2025-10-05 16:00:00;0,22;0,46;0,19;51;302;18;3.342;0.387;2.955;%6.0
2025-10-05 17:00:00;0,22;0,45;0,19;51;290;18;3.356;0.403;2.953;%6.0
