Adana ADNTOCDELLOSS01;Latency;Read Latency;Write Latency;Avg. Size;Read Size;Write Size;Total IOPS;Read IOPS;Write IOPS;CPU Utilization
2025-10-07 02:00:00;0,33;1,15;0,18;85;500;10;0.725;0.112;0.613;%1.0
2025-10-07 03:00:00;0,33;1,01;0,18;84;416;10;0.744;0.136;0.607;%1.0
2025-10-07 04:00:00;0,33;1,15;0,18;86;488;10;0.716;0.114;0.602;%1.0
2025-10-07 05:00:00;0,33;1,14;0,18;86;486;10;0.721;0.115;0.606;%1.0
2025-10-07 06:00:00;0,33;1,13;0,18;86;480;10;0.723;0.117;0.607;%5.0
2025-10-07 07:00:00;0,37;0,62;0,18;98;218;10;1.053;0.446;0.607;%2.0
2025-10-07 08:00:00;0,33;1,17;0,18;86;505;10;0.715;0.111;0.605;%1.0
2025-10-07 09:00:00;0,33;1,16;0,18;86;503;10;0.717;0.111;0.606;%1.0
2025-10-07 10:00:00;0,33;1,08;0,18;86;454;10;0.724;0.124;0.600;%1.0
2025-10-07 11:00:00;0,33;1,17;0,18;86;504;10;0.710;0.109;0.600;%1.0
2025-10-07 12:00:00;0,33;1,16;0,18;86;505;10;0.713;0.110;0.603;%1.0
2025-10-07 13:00:00;0,33;1,17;0,18;86;506;10;0.713;0.109;0.603;%1.0
2025-10-07 14:00:00;0,33;1,11;0,18;85;476;10;0.720;0.117;0.604;%1.0
2025-10-07 15:00:00;0,33;1,15;0,18;86;500;10;0.712;0.111;0.601;%1.0
2025-10-07 16:00:00;0,33;1,14;0,18;86;495;10;0.708;0.112;0.596;%1.0
2025-10-07 17:00:00;0,33;1,14;0,18;86;495;10;0.717;0.113;0.604;%1.0
2025-10-07 18:00:00;0,33;1,14;0,18;86;493;10;0.713;0.113;0.601;%1.0
2025-10-07 19:00:00;0,33;1,16;0,18;86;504;10;0.710;0.110;0.600;%1.0
2025-10-07 20:00:00;0,33;1,16;0,18;87;508;10;0.713;0.110;0.603;%4.0
2025-10-07 21:00:00;0,33;1,17;0,18;86;506;10;0.711;0.109;0.602;%2.0
2025-10-07 22:00:00;0,33;1,16;0,18;87;505;10;0.705;0.109;0.595;%1.0
2025-10-07 23:00:00;0,33;1,15;0,18;86;496;10;0.712;0.112;0.600;%1.0
2025-10-08 00:00:00;0,33;1,15;0,18;86;503;10;0.714;0.111;0.603;%1.0
2025-10-08 01:00:00;0,34;1,17;0,18;86;506;10;0.713;0.110;0.604;%5.0
2025-10-08 02:00:00;0,33;1,15;0,18;85;495;10;0.720;0.112;0.608;%1.0
2025-10-08 03:00:00;0,33;1,01;0,18;84;417;10;0.740;0.134;0.605;%1.0
2025-10-08 04:00:00;0,33;1,13;0,18;86;489;10;0.711;0.114;0.597;%1.0
2025-10-08 05:00:00;0,33;1,13;0,18;86;489;10;0.717;0.115;0.602;%1.0
2025-10-08 06:00:00;0,33;1,14;0,18;86;490;10;0.715;0.113;0.602;%1.0
2025-10-08 07:00:00;0,37;0,62;0,18;99;218;10;1.047;0.446;0.601;%2.0
2025-10-08 08:00:00;0,33;1,14;0,18;86;495;10;0.717;0.113;0.604;%1.0
2025-10-08 09:00:00;0,33;1,08;0,18;85;462;10;0.721;0.120;0.601;%1.0
2025-10-08 10:00:00;0,34;1,15;0,18;87;493;10;0.706;0.113;0.593;%1.0
2025-10-08 11:00:00;0,33;1,16;0,18;87;504;10;0.706;0.110;0.596;%1.0
2025-10-08 12:00:00;0,33;1,17;0,18;85;503;10;0.709;0.109;0.600;%1.0
2025-10-08 13:00:00;0,33;1,17;0,18;87;508;10;0.711;0.110;0.601;%1.0
2025-10-08 14:00:00;0,33;1,11;0,18;85;475;10;0.724;0.117;0.606;%3.0
2025-10-08 15:00:00;0,33;1,16;0,18;86;506;10;0.716;0.110;0.606;%3.0
2025-10-08 16:00:00;0,33;1,16;0,18;87;504;10;0.709;0.110;0.599;%1.0
2025-10-08 17:00:00;0,33;1,17;0,18;85;505;10;0.709;0.107;0.601;%1.0
2025-10-08 18:00:00;0,33;1,17;0,18;86;504;10;0.712;0.110;0.602;%1.0
2025-10-08 19:00:00;0,33;1,18;0,18;86;508;10;0.713;0.109;0.604;%5.0
2025-10-08 20:00:00;0,33;1,17;0,18;86;502;10;0.717;0.110;0.607;%1.0
2025-10-08 21:00:00;0,33;1,13;0,18;86;488;10;0.722;0.115;0.608;%1.0
2025-10-08 22:00:00;0,33;1,16;0,18;86;502;10;0.712;0.111;0.601;%1.0
2025-10-08 23:00:00;0,33;1,16;0,18;86;506;10;0.715;0.110;0.604;%1.0
2025-10-09 00:00:00;0,33;1,15;0,18;84;488;10;0.720;0.111;0.609;%1.0
2025-10-09 01:00:00;0,33;1,16;0,18;86;504;10;0.719;0.111;0.608;%1.0
2025-10-09 02:00:00;0,34;0,88;0,2;83;353;17;0.873;0.171;0.702;%2.0
2025-10-09 03:00:00;0,33;1;0,18;83;413;11;0.766;0.137;0.628;%1.0
2025-10-09 04:00:00;0,33;1,12;0,18;86;480;11;0.729;0.116;0.613;%1.0
2025-10-09 05:00:00;0,33;1,11;0,18;85;474;11;0.731;0.117;0.614;%2.0
2025-10-09 06:00:00;0,33;1,12;0,18;85;483;10;0.726;0.115;0.611;%5.0
2025-10-09 07:00:00;0,36;0,61;0,18;96;211;10;1.067;0.459;0.608;%2.0
2025-10-09 08:00:00;0,33;1,17;0,18;86;502;10;0.719;0.111;0.607;%1.0
2025-10-09 09:00:00;0,33;1,17;0,18;85;507;10;0.718;0.109;0.609;%1.0
2025-10-09 10:00:00;0,33;1,16;0,18;86;504;10;0.716;0.110;0.606;%5.0
2025-10-09 11:00:00;0,33;1,17;0,18;85;507;10;0.716;0.109;0.607;%1.0
