Tuzla TZLTOCDELLAPP03;Latency;Read Latency;Write Latency;Avg. Size;Read Size;Write Size;Total IOPS;Read IOPS;Write IOPS;CPU Utilization
2025-10-04 11:26:18;;;;;;;;;;
2025-10-04 12:00:00;0,55;0,97;0,2;190;400;15;4.894;2.222;2.671;%8.0
2025-10-04 13:00:00;0,55;0,97;0,2;189;399;15;4.903;2.225;2.678;%9.0
2025-10-04 14:00:00;0,55;0,96;0,2;191;399;15;4.876;2.231;2.645;%9.0
2025-10-04 15:00:00;0,55;0,96;0,2;189;399;15;4.912;2.232;2.680;%9.0
2025-10-04 16:00:00;0,55;0,96;0,2;190;398;15;4.881;2.227;2.654;%10.0
2025-10-04 17:00:00;0,55;0,97;0,2;190;399;15;4.878;2.219;2.659;%10.0
2025-10-04 18:00:00;0,55;0,98;0,2;187;396;15;4.835;2.185;2.651;%9.0
2025-10-04 19:00:00;0,55;0,98;0,2;181;389;15;4.802;2.126;2.676;%10.0
2025-10-04 20:00:00;0,55;0,98;0,2;182;390;15;4.808;2.138;2.670;%10.0
2025-10-04 21:00:00;0,55;0,98;0,2;186;395;15;4.862;2.183;2.679;%9.0
2025-10-04 22:00:00;0,55;0,99;0,2;183;394;15;4.812;2.137;2.675;%9.0
2025-10-04 23:00:00;0,55;0,97;0,2;186;396;15;4.906;2.207;2.698;%9.0
2025-10-05 00:00:00;0,55;0,98;0,2;187;397;15;4.849;2.184;2.665;%9.0
2025-10-05 01:00:00;0,53;0,89;0,2;181;364;15;5.057;2.402;2.655;%9.0
2025-10-05 02:00:00;0,55;0,97;0,2;188;399;15;4.870;2.202;2.669;%9.0
2025-10-05 03:00:00;0,55;0,97;0,2;187;397;15;4.870;2.189;2.682;%9.0
2025-10-05 04:00:00;0,55;0,98;0,2;184;395;15;4.871;2.171;2.700;%9.0
2025-10-05 05:00:00;0,55;0,99;0,2;179;390;15;4.773;2.090;2.682;%9.0
2025-10-05 06:00:00;0,55;0,97;0,2;184;393;15;4.838;2.167;2.670;%8.0
2025-10-05 07:00:00;0,55;0,98;0,2;187;397;15;4.815;2.174;2.641;%6.0
2025-10-05 08:00:00;0,55;0,97;0,2;187;395;15;4.815;2.179;2.636;%4.0
