Gaziemir IZMTOCDELLAPP02;Latency;Read Latency;Write Latency;Avg. Size;Read Size;Write Size;Total IOPS;Read IOPS;Write IOPS;CPU Utilization
2025-10-04 11:14:06;;;;;;;;;;
2025-10-04 12:00:00;0,43;0,42;0,45;335;520;36;3.146;1.945;1.202;%9.0
2025-10-04 13:00:00;0,43;0,41;0,45;339;521;36;3.201;1.997;1.204;%9.0
2025-10-04 14:00:00;0,43;0,42;0,45;308;516;36;2.795;1.587;1.209;%8.0
2025-10-04 15:00:00;0,43;0,42;0,45;321;518;36;2.952;1.747;1.205;%9.0
2025-10-04 16:00:00;0,43;0,42;0,45;307;515;36;2.763;1.565;1.198;%8.0
2025-10-04 17:00:00;0,43;0,42;0,45;326;520;36;2.999;1.800;1.199;%9.0
2025-10-04 18:00:00;0,43;0,42;0,45;314;519;36;2.846;1.638;1.208;%8.0
2025-10-04 19:00:00;0,43;0,42;0,45;324;521;36;2.969;1.763;1.207;%9.0
2025-10-04 20:00:00;0,44;0,42;0,46;317;518;37;2.893;1.683;1.210;%8.0
2025-10-04 21:00:00;0,44;0,42;0,46;327;519;37;3.034;1.823;1.211;%8.0
2025-10-04 22:00:00;0,44;0,42;0,46;331;520;38;3.086;1.880;1.206;%9.0
2025-10-04 23:00:00;0,44;0,42;0,46;327;519;38;3.031;1.823;1.208;%9.0
2025-10-05 00:00:00;0,43;0,42;0,46;340;521;37;3.214;2.007;1.207;%9.0
2025-10-05 01:00:00;0,43;0,42;0,46;329;519;37;3.063;1.859;1.204;%9.0
2025-10-05 02:00:00;0,43;0,42;0,45;338;521;35;3.191;1.987;1.204;%9.0
2025-10-05 03:00:00;0,42;0,41;0,45;332;487;34;3.499;2.296;1.203;%9.0
2025-10-05 04:00:00;0,42;0,42;0,43;330;521;33;3.466;2.111;1.355;%9.0
2025-10-05 05:00:00;0,43;0,42;0,44;338;520;33;3.191;1.996;1.195;%9.0
2025-10-05 06:00:00;0,43;0,42;0,44;332;519;33;3.115;1.918;1.197;%9.0
2025-10-05 07:00:00;0,43;0,42;0,44;327;518;33;3.034;1.835;1.199;%8.0
2025-10-05 08:00:00;0,43;0,42;0,45;327;518;34;3.049;1.847;1.202;%9.0
2025-10-05 09:00:00;0,43;0,41;0,45;343;521;35;3.276;2.073;1.202;%9.0
2025-10-05 10:00:00;0,43;0,42;0,45;324;511;36;3.040;1.842;1.198;%9.0
2025-10-05 11:00:00;0,43;0,42;0,45;322;518;35;2.956;1.755;1.201;%8.0
2025-10-05 12:00:00;0,43;0,42;0,45;320;517;36;2.938;1.735;1.204;%8.0
2025-10-05 13:00:00;0,43;0,42;0,45;310;517;36;2.788;1.586;1.203;%8.0
2025-10-05 14:00:00;0,43;0,42;0,45;332;521;36;3.085;1.882;1.203;%9.0
2025-10-05 15:00:00;0,43;0,42;0,46;339;522;36;3.187;1.987;1.201;%9.0
2025-10-05 16:00:00;0,43;0,42;0,45;339;522;35;3.181;1.985;1.196;%9.0
2025-10-05 17:00:00;0,43;0,42;0,45;334;520;35;3.117;1.919;1.197;%9.0
2025-10-05 18:00:00;0,43;0,42;0,45;312;516;36;2.832;1.628;1.204;%8.0
2025-10-05 19:00:00;0,43;0,42;0,45;315;517;36;2.872;1.664;1.208;%8.0
2025-10-05 20:00:00;0,43;0,42;0,45;313;516;37;2.850;1.639;1.211;%8.0
2025-10-05 21:00:00;0,44;0,42;0,46;306;515;37;2.773;1.561;1.212;%8.0
2025-10-05 22:00:00;0,44;0,42;0,46;307;515;38;2.754;1.551;1.203;%8.0
2025-10-05 23:00:00;0,44;0,42;0,46;301;515;38;2.681;1.479;1.202;%8.0
2025-10-06 00:00:00;0,44;0,42;0,45;299;517;37;2.668;1.459;1.208;%8.0
2025-10-06 01:00:00;0,44;0,42;0,45;301;516;36;2.673;1.473;1.201;%8.0
2025-10-06 02:00:00;0,43;0,42;0,44;323;520;34;2.965;1.763;1.203;%8.0
2025-10-06 03:00:00;0,42;0,41;0,45;330;487;33;3.474;2.273;1.201;%9.0
2025-10-06 04:00:00;0,44;0,42;0,47;328;518;33;3.427;2.080;1.347;%9.0
2025-10-06 05:00:00;0,42;0,41;0,44;346;521;33;3.316;2.129;1.187;%9.0
2025-10-06 06:00:00;0,42;0,41;0,44;346;521;33;3.314;2.123;1.191;%9.0
2025-10-06 07:00:00;0,43;0,42;0,44;325;517;33;3.017;1.817;1.199;%8.0
2025-10-06 08:00:00;0,43;0,42;0,45;330;518;34;3.070;1.875;1.195;%9.0
2025-10-06 09:00:00;0,43;0,42;0,45;325;518;34;3.009;1.812;1.197;%8.0
2025-10-06 10:00:00;0,43;0,42;0,45;324;513;34;3.014;1.821;1.192;%8.0
2025-10-06 11:00:00;0,43;0,42;0,45;315;519;34;2.838;1.643;1.194;%8.0
2025-10-06 12:00:00;0,43;0,42;0,45;328;521;35;3.024;1.825;1.199;%8.0
2025-10-06 13:00:00;0,43;0,41;0,46;349;523;35;3.366;2.164;1.201;%9.0
2025-10-06 14:00:00;0,43;0,41;0,46;349;522;34;3.383;2.179;1.204;%9.0
2025-10-06 15:00:00;0,43;0,42;0,46;344;522;34;3.290;2.087;1.203;%9.0
2025-10-06 16:00:00;0,43;0,42;0,45;325;520;35;2.977;1.779;1.198;%8.0
2025-10-06 17:00:00;0,43;0,42;0,45;316;519;35;2.864;1.661;1.203;%8.0
2025-10-06 18:00:00;0,43;0,42;0,46;329;521;36;3.058;1.853;1.205;%8.0
2025-10-06 19:00:00;0,44;0,42;0,46;315;518;36;2.864;1.656;1.207;%8.0
2025-10-06 20:00:00;0,44;0,42;0,46;307;517;37;2.770;1.558;1.212;%8.0
2025-10-06 21:00:00;0,44;0,42;0,46;302;518;38;2.704;1.490;1.214;%8.0
2025-10-06 22:00:00;0,44;0,42;0,47;325;520;38;2.978;1.773;1.204;%8.0
2025-10-06 23:00:00;0,44;0,42;0,47;319;519;38;2.904;1.697;1.207;%8.0
2025-10-07 00:00:00;0,43;0,42;0,47;348;523;37;3.355;2.146;1.210;%10.0
2025-10-07 01:00:00;0,43;0,42;0,46;348;522;36;3.377;2.170;1.207;%10.0
2025-10-07 02:00:00;0,43;0,41;0,45;350;524;34;3.405;2.201;1.203;%10.0
2025-10-07 03:00:00;0,42;0,41;0,44;337;490;32;3.605;2.401;1.204;%10.0
2025-10-07 04:00:00;0,45;0,42;0,5;330;520;31;3.442;2.103;1.339;%9.0
2025-10-07 05:00:00;0,42;0,42;0,43;331;519;31;3.095;1.901;1.194;%8.0
2025-10-07 06:00:00;0,42;0,42;0,42;312;518;31;2.826;1.631;1.195;%8.0
2025-10-07 07:00:00;0,42;0,42;0,42;300;516;31;2.691;1.492;1.199;%8.0
2025-10-07 08:00:00;0,43;0,43;0,42;281;511;32;2.496;1.298;1.198;%7.0
2025-10-07 09:00:00;0,43;0,42;0,43;289;512;32;2.577;1.379;1.198;%7.0
2025-10-07 10:00:00;0,43;0,42;0,43;304;508;33;2.777;1.582;1.195;%8.0
2025-10-07 11:00:00;0,43;0,42;0,44;342;522;33;3.251;2.057;1.194;%9.0
2025-10-07 12:00:00;0,43;0,42;0,45;341;523;33;3.223;2.024;1.199;%9.0
2025-10-07 13:00:00;0,43;0,42;0,45;346;523;34;3.316;2.117;1.199;%9.0
2025-10-07 14:00:00;0,43;0,42;0,45;345;523;34;3.301;2.102;1.199;%9.0
2025-10-07 15:00:00;0,43;0,42;0,45;330;521;34;3.048;1.851;1.196;%9.0
