Gaziemir IZMTOCDELLAPP04;Latency;Read Latency;Write Latency;Avg. Size;Read Size;Write Size;Total IOPS;Read IOPS;Write IOPS;CPU Utilization
2025-10-04 11:17:51;;;;;;;;;;
2025-10-04 12:00:00;0,34;0,38;0,2;404;525;11;0.903;0.690;0.213;%2.0
2025-10-04 13:00:00;0,34;0,38;0,2;403;525;12;0.903;0.689;0.214;%2.0
2025-10-04 14:00:00;0,34;0,39;0,2;404;525;12;0.901;0.689;0.212;%2.0
2025-10-04 15:00:00;0,34;0,38;0,2;403;525;12;0.904;0.689;0.214;%2.0
2025-10-04 16:00:00;0,34;0,38;0,2;404;525;12;0.900;0.689;0.211;%2.0
2025-10-04 17:00:00;0,34;0,38;0,2;405;525;12;0.899;0.688;0.211;%2.0
2025-10-04 18:00:00;0,34;0,39;0,2;394;525;11;0.924;0.689;0.235;%2.0
2025-10-04 19:00:00;0,34;0,38;0,2;405;525;12;0.901;0.689;0.211;%2.0
2025-10-04 20:00:00;0,34;0,38;0,2;404;525;11;0.901;0.689;0.212;%2.0
2025-10-04 21:00:00;0,34;0,38;0,2;405;525;10;0.899;0.690;0.209;%2.0
2025-10-04 22:00:00;0,34;0,38;0,19;406;525;9;0.894;0.689;0.206;%2.0
2025-10-04 23:00:00;0,34;0,38;0,19;406;525;9;0.895;0.689;0.206;%2.0
2025-10-05 00:00:00;0,34;0,38;0,19;405;523;8;0.897;0.691;0.205;%2.0
2025-10-05 01:00:00;0,34;0,38;0,18;406;525;8;0.894;0.689;0.206;%2.0
2025-10-05 02:00:00;0,34;0,39;0,18;406;525;7;0.894;0.689;0.206;%2.0
2025-10-05 03:00:00;0,34;0,39;0,18;404;523;7;0.899;0.693;0.206;%2.0
2025-10-05 04:00:00;0,34;0,38;0,21;407;525;13;0.896;0.689;0.207;%2.0
2025-10-05 05:00:00;0,34;0,39;0,18;404;521;7;0.899;0.695;0.204;%2.0
2025-10-05 06:00:00;0,34;0,38;0,18;406;525;6;0.894;0.689;0.205;%2.0
2025-10-05 07:00:00;0,33;0,38;0,18;390;525;6;0.932;0.689;0.243;%2.0
2025-10-05 08:00:00;0,34;0,38;0,18;405;524;7;0.896;0.690;0.206;%2.0
2025-10-05 09:00:00;0,34;0,38;0,18;405;525;7;0.896;0.690;0.207;%2.0
2025-10-05 10:00:00;0,34;0,38;0,19;405;525;8;0.896;0.688;0.208;%2.0
2025-10-05 11:00:00;0,34;0,38;0,19;404;525;9;0.899;0.690;0.209;%2.0
2025-10-05 12:00:00;0,34;0,38;0,19;405;525;9;0.900;0.689;0.210;%2.0
2025-10-05 13:00:00;0,34;0,38;0,19;403;525;10;0.903;0.689;0.214;%2.0
2025-10-05 14:00:00;0,34;0,39;0,19;404;525;10;0.901;0.689;0.212;%2.0
2025-10-05 15:00:00;0,34;0,38;0,2;404;525;11;0.901;0.689;0.211;%2.0
2025-10-05 16:00:00;0,34;0,39;0,2;403;525;10;0.902;0.688;0.214;%2.0
2025-10-05 17:00:00;0,34;0,38;0,2;403;525;11;0.903;0.689;0.214;%2.0
2025-10-05 18:00:00;0,33;0,38;0,2;394;525;11;0.925;0.689;0.236;%2.0
2025-10-05 19:00:00;0,34;0,38;0,2;405;525;11;0.899;0.689;0.210;%2.0
2025-10-05 20:00:00;0,34;0,38;0,2;404;525;11;0.901;0.690;0.212;%2.0
2025-10-05 21:00:00;0,34;0,39;0,19;405;525;10;0.898;0.689;0.208;%2.0
2025-10-05 22:00:00;0,34;0,39;0,19;406;525;9;0.894;0.689;0.205;%2.0
2025-10-05 23:00:00;0,34;0,39;0,19;406;525;8;0.895;0.689;0.206;%2.0
2025-10-06 00:00:00;0,34;0,38;0,19;407;525;8;0.893;0.689;0.204;%2.0
2025-10-06 01:00:00;0,34;0,38;0,18;406;524;7;0.894;0.690;0.204;%2.0
2025-10-06 02:00:00;0,34;0,38;0,18;407;525;7;0.892;0.688;0.204;%2.0
2025-10-06 03:00:00;0,34;0,38;0,18;407;525;7;0.893;0.689;0.204;%2.0
2025-10-06 04:00:00;0,34;0,38;0,21;408;525;14;0.894;0.690;0.204;%2.0
2025-10-06 05:00:00;0,34;0,38;0,18;407;525;6;0.893;0.690;0.203;%2.0
2025-10-06 06:00:00;0,34;0,39;0,18;407;525;6;0.891;0.689;0.203;%2.0
2025-10-06 07:00:00;0,33;0,39;0,18;392;525;6;0.927;0.689;0.238;%2.0
2025-10-06 08:00:00;0,34;0,38;0,18;406;524;7;0.895;0.690;0.205;%2.0
2025-10-06 09:00:00;0,34;0,39;0,19;405;525;9;0.898;0.690;0.209;%2.0
2025-10-06 10:00:00;0,34;0,38;0,2;404;525;10;0.899;0.689;0.211;%2.0
2025-10-06 11:00:00;0,34;0,38;0,2;403;524;11;0.904;0.690;0.214;%2.0
2025-10-06 12:00:00;0,34;0,38;0,2;403;524;12;0.905;0.691;0.213;%2.0
