Adana ADNTOCDELLAPP02;Latency;Read Latency;Write Latency;Avg. Size;Read Size;Write Size;Total IOPS;Read IOPS;Write IOPS;CPU Utilization
2025-10-04 09:28:15;;;;;;;;;;
2025-10-04 10:00:00;0,75;0,83;0,24;461;529;10;0.364;0.315;0.048;%1.0
2025-10-04 11:00:00;0,75;0,83;0,24;460;529;10;0.364;0.316;0.049;%1.0
2025-10-04 12:00:00;0,75;0,83;0,24;457;529;10;0.367;0.315;0.051;%1.0
2025-10-04 13:00:00;0,75;0,83;0,25;458;529;10;0.366;0.316;0.050;%1.0
2025-10-04 14:00:00;0,75;0,83;0,25;458;529;10;0.365;0.315;0.050;%1.0
2025-10-04 15:00:00;0,75;0,83;0,24;456;529;10;0.368;0.316;0.052;%1.0
2025-10-04 16:00:00;0,75;0,83;0,25;458;529;10;0.366;0.316;0.050;%1.0
2025-10-04 17:00:00;0,75;0,83;0,25;457;529;10;0.367;0.316;0.051;%1.0
2025-10-04 18:00:00;0,75;0,83;0,25;457;529;10;0.367;0.316;0.051;%1.0
2025-10-04 19:00:00;0,74;0,82;0,24;457;529;10;0.366;0.316;0.051;%1.0
2025-10-04 20:00:00;0,75;0,82;0,25;459;529;10;0.365;0.316;0.049;%1.0
2025-10-04 21:00:00;0,74;0,82;0,24;458;529;10;0.367;0.316;0.050;%1.0
2025-10-04 22:00:00;0,75;0,82;0,25;461;529;10;0.364;0.316;0.048;%1.0
2025-10-04 23:00:00;0,75;0,83;0,24;459;529;10;0.365;0.316;0.050;%1.0
2025-10-05 00:00:00;0,75;0,82;0,25;462;528;10;0.362;0.316;0.047;%1.0
2025-10-05 01:00:00;0,75;0,82;0,25;458;528;10;0.366;0.317;0.049;%1.0
2025-10-05 02:00:00;0,75;0,82;0,26;463;529;10;0.362;0.316;0.046;%1.0
2025-10-05 03:00:00;0,75;0,82;0,25;459;529;9;0.365;0.316;0.049;%1.0
2025-10-05 04:00:00;0,74;0,82;0,26;463;529;10;0.360;0.314;0.046;%1.0
2025-10-05 05:00:00;0,74;0,82;0,25;459;529;9;0.366;0.316;0.049;%1.0
2025-10-05 06:00:00;0,75;0,82;0,25;465;529;10;0.361;0.316;0.045;%1.0
2025-10-05 07:00:00;0,74;0,82;0,24;458;529;9;0.366;0.316;0.050;%1.0
2025-10-05 08:00:00;0,74;0,82;0,25;463;529;10;0.362;0.316;0.046;%1.0
2025-10-05 09:00:00;0,74;0,82;0,24;458;529;9;0.366;0.316;0.050;%1.0
2025-10-05 10:00:00;0,75;0,82;0,25;461;529;10;0.363;0.316;0.048;%1.0
2025-10-05 11:00:00;0,74;0,83;0,25;456;529;9;0.367;0.316;0.052;%1.0
2025-10-05 12:00:00;0,75;0,83;0,25;462;529;10;0.362;0.315;0.047;%1.0
2025-10-05 13:00:00;0,74;0,83;0,24;455;529;9;0.368;0.315;0.053;%1.0
2025-10-05 14:00:00;0,75;0,82;0,26;461;529;10;0.363;0.316;0.047;%1.0
2025-10-05 15:00:00;0,74;0,82;0,24;453;529;9;0.370;0.316;0.054;%1.0
2025-10-05 16:00:00;0,75;0,82;0,25;461;529;10;0.363;0.315;0.048;%1.0
2025-10-05 17:00:00;0,74;0,82;0,24;454;529;10;0.369;0.316;0.053;%1.0
2025-10-05 18:00:00;0,75;0,82;0,25;461;529;10;0.364;0.316;0.048;%1.0
2025-10-05 19:00:00;0,74;0,82;0,24;455;529;10;0.369;0.316;0.053;%1.0
2025-10-05 20:00:00;0,74;0,82;0,24;460;529;10;0.364;0.316;0.048;%1.0
2025-10-05 21:00:00;0,73;0,81;0,24;455;529;10;0.369;0.316;0.052;%1.0
2025-10-05 22:00:00;0,74;0,82;0,26;463;529;10;0.361;0.315;0.046;%1.0
2025-10-05 23:00:00;0,73;0,81;0,24;458;529;10;0.367;0.317;0.050;%1.0
2025-10-06 00:00:00;0,74;0,81;0,26;464;529;10;0.361;0.316;0.045;%1.0
2025-10-06 01:00:00;0,74;0,81;0,24;457;527;10;0.366;0.317;0.049;%1.0
2025-10-06 02:00:00;0,75;0,82;0,25;464;529;10;0.360;0.315;0.045;%1.0
2025-10-06 03:00:00;0,73;0,81;0,25;459;529;9;0.364;0.316;0.049;%1.0
2025-10-06 04:00:00;0,74;0,81;0,25;464;529;10;0.360;0.315;0.045;%1.0
2025-10-06 05:00:00;0,73;0,81;0,24;462;529;10;0.364;0.317;0.047;%1.0
2025-10-06 06:00:00;0,74;0,81;0,25;461;528;10;0.363;0.317;0.046;%1.0
2025-10-06 07:00:00;0,74;0,81;0,24;462;529;10;0.362;0.316;0.047;%1.0
2025-10-06 08:00:00;0,74;0,81;0,24;461;528;10;0.364;0.317;0.047;%1.0
2025-10-06 09:00:00;0,74;0,82;0,25;459;529;10;0.365;0.316;0.049;%1.0
2025-10-06 10:00:00;0,74;0,82;0,24;457;529;10;0.366;0.316;0.050;%1.0
2025-10-06 11:00:00;0,74;0,82;0,24;455;529;10;0.368;0.316;0.052;%1.0
2025-10-06 12:00:00;0,74;0,82;0,25;455;529;10;0.367;0.315;0.052;%1.0
2025-10-06 13:00:00;0,74;0,82;0,25;457;529;10;0.367;0.316;0.051;%1.0
2025-10-06 14:00:00;0,74;0,82;0,25;457;529;10;0.367;0.316;0.051;%1.0
2025-10-06 15:00:00;0,74;0,82;0,25;456;529;10;0.367;0.315;0.052;%1.0
2025-10-06 16:00:00;0,74;0,82;0,25;454;529;10;0.369;0.316;0.053;%1.0
2025-10-06 17:00:00;0,75;0,83;0,25;456;529;10;0.368;0.317;0.052;%1.0
2025-10-06 18:00:00;0,75;0,83;0,25;455;529;10;0.368;0.316;0.052;%1.0
2025-10-06 19:00:00;0,75;0,83;0,25;457;528;10;0.368;0.317;0.051;%1.0
2025-10-06 20:00:00;0,74;0,83;0,25;455;528;10;0.368;0.316;0.052;%1.0
2025-10-06 21:00:00;0,75;0,82;0,25;459;529;10;0.366;0.316;0.049;%1.0
2025-10-06 22:00:00;0,74;0,82;0,25;457;528;10;0.367;0.316;0.050;%1.0
2025-10-06 23:00:00;0,75;0,82;0,25;461;529;10;0.365;0.317;0.048;%1.0
2025-10-07 00:00:00;0,75;0,82;0,24;459;528;9;0.365;0.316;0.049;%1.0
2025-10-07 01:00:00;0,75;0,82;0,25;460;527;10;0.364;0.317;0.047;%1.0
2025-10-07 02:00:00;0,75;0,82;0,25;459;529;9;0.365;0.315;0.049;%1.0
2025-10-07 03:00:00;0,74;0,82;0,25;461;529;10;0.363;0.316;0.047;%1.0
2025-10-07 04:00:00;0,74;0,81;0,24;458;529;9;0.365;0.316;0.050;%1.0
2025-10-07 05:00:00;0,74;0,81;0,25;464;528;10;0.361;0.316;0.045;%1.0
2025-10-07 06:00:00;0,73;0,81;0,24;458;529;9;0.366;0.316;0.049;%1.0
2025-10-07 07:00:00;0,74;0,81;0,26;464;528;10;0.361;0.316;0.045;%1.0
2025-10-07 08:00:00;0,74;0,81;0,25;457;528;9;0.367;0.317;0.051;%1.0
2025-10-07 09:00:00;0,74;0,82;0,25;461;529;10;0.363;0.316;0.047;%1.0
2025-10-07 10:00:00;0,73;0,82;0,24;454;529;9;0.369;0.316;0.053;%1.0
2025-10-07 11:00:00;0,74;0,82;0,26;459;529;10;0.364;0.315;0.049;%1.0
2025-10-07 12:00:00;0,73;0,82;0,24;453;529;10;0.370;0.316;0.054;%1.0
2025-10-07 13:00:00;0,75;0,82;0,25;460;529;11;0.365;0.316;0.049;%1.0
2025-10-07 14:00:00;0,74;0,82;0,25;453;529;10;0.369;0.315;0.054;%1.0
2025-10-07 15:00:00;0,74;0,82;0,25;460;529;11;0.364;0.315;0.049;%1.0
2025-10-07 16:00:00;0,73;0,82;0,24;454;529;10;0.369;0.316;0.053;%1.0
2025-10-07 17:00:00;0,74;0,82;0,25;461;529;11;0.364;0.316;0.048;%1.0
2025-10-07 18:00:00;0,74;0,82;0,24;454;529;10;0.370;0.316;0.054;%1.0
2025-10-07 19:00:00;0,74;0,82;0,25;461;529;11;0.364;0.316;0.048;%1.0
2025-10-07 20:00:00;0,74;0,82;0,24;454;529;10;0.369;0.316;0.053;%1.0
